studio,website,contact,email_or_form,sent_status,response_status,type_a_static_quote,type_b_static_quote,timeline,revision_policy,source_file_policy,licensing_policy,notes
SayoStudio,https://sayostudio.com,contact form,form,not sent,not received,,,,,,,"Static scientific illustration / graphical abstract only"
Terese Winslow LLC,https://www.teresewinslow.com,terese@teresewinslow.com,direct email,not sent,not received,,,,,,,"Certified medical illustrator; strong static publication figure fit"
Biomedscapes,https://www.biomedscapes.com,website contact,form,not sent,not received,,,,,,,"Lila Strohl; cellular and molecular landscapes; verify direct email"
Sabela DeScience,https://www.sabeladescience.com,contact form,form,not sent,not received,,,,,,,"Biomedical researcher turned science illustrator; ask static only"
Roy Illustration,https://royillustration.com,laura@royillustration.com,direct email,not sent,not received,,,,,,,"Laura Roy; board-certified medical illustrator; has hepatic stellate-cell related work"
C. Wheeler Studios,https://www.cwheelerstudios.com,christina@cwheelerstudios.com,direct email,not sent,not received,,,,,,,"Christina Wheeler CMI; biomedical visualization"
Cheney BioMedArt,https://www.cheneybiomedart.com,cheneymedillustration@gmail.com,direct email,not sent,not received,,,,,,,"Laura Cheney; Johns Hopkins-trained medical illustrator"
Frataccia Studios,https://www.fratacciastudios.com,contact form,form,not sent,not received,,,,,,,"Amanda Frataccia; board-certified medical illustration studio"
Applied Art Studio,https://www.appliedartstudio.com,contact form,form,not sent,not received,,,,,,,"Jay LeVasseur; medical illustration studio"
SubUNIT Studio,https://www.subunit.studio,Gopikrishna@subunit.studio,direct email,not sent,not received,,,,,,,"PhD cancer nanotechnology; journal graphical abstracts"
Nanoclustering Scientific Illustration,https://www.nanoclustering.com,info@nanoclustering.com,direct email,not sent,not received,,,,,,,"Public price benchmark; journal covers from about USD 800"
SciVisual,https://en.scivisual.com,mail@scivisual.com,direct email,not sent,not received,,,,,,,"Graphic abstracts, figures, slides, posters; founder role needs confirmation"
Summa Scientia,https://www.summascientia.com,SummaScientiaWeb@gmail.com,direct email,not sent,not received,,,,,,,"Scientific figures and graphical abstracts; principal/founder role needs confirmation"
LumineScientia,https://www.luminescientia.com,luminescientia@gmail.com,direct email,not sent,not received,,,,,,,"Matteo Tucci PhD; publication/grant/presentation visuals"
ScEYEnce Studios,https://sceyencestudios.com,website contact,form,not sent,not received,,,,,,,"Patrick Lane; launched studio in 2003"
DrawImpacts,https://www.drawimpacts.com,contact form,form,not sent,not received,,,,,,,"Emma Vidal; founder-led scientific design studio"
Insight Illustrations,https://insightillustrations.com,contact form,form,not sent,not received,,,,,,,"Clair Huffine PhD; publication-quality figures"
Graham Johnson Medical Media,https://www.grahamj.com,graham@grahamj.com,direct email,not sent,not received,,,,,,,"Premium/selective molecular/cellular static illustration"
Ryan Kissinger Illustration and Design,https://www.ryankissinger.com,info@ryankissinger.com,direct email,not sent,not received,,,,,,,"Ask only for static scientific/medical illustration"
Laura Canil Scientific Illustrations,https://www.canilvisuals.com,laura.canil@canilvisuals.com,direct email,not sent,not received,,,,,,,"Graphical abstracts and grants/publication figures"
